0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /api/navigation/global HTTP/1.1" 404 59 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /apple-touch-icon-180x180.png HTTP/1.1" 200 6087 "-" "Safari/16611.2.7.1.4 CFNetwork/1240.0.4 Darwin/20.5.0" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-08-25T06%3A48%3A34%2B0000 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /js/360.m.08bc8b40.chunk.js HTTP/1.1" 200 505 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /js/328.m.09980e03.chunk.js HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:22 +0200] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:27 +0200] "GET /api/system/status HTTP/1.1" 200 76 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAA"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:28 +0200] "GET /maintenance?return_to=%2F HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAB"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:28 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-08-25T06%3A50%3A22%2B0000 HTTP/1.1" 304 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAD"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:28 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAC"
