0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /js/vendors-main.m.f8a28baa.chunk.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /api/navigation/global HTTP/1.1" 404 59 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /apple-touch-icon-180x180.png HTTP/1.1" 200 6087 "-" "Safari/16611.2.7.1.4 CFNetwork/1240.0.4 Darwin/20.5.0" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-25T16%3A31%3A57%2B0000 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:11 +0200] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:16 +0200] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:21 +0200] "GET /api/system/status HTTP/1.1" 200 76 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAA"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:24 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAB"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:24 +0200] "GET /api/users/current HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAD"
