0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /js/main.m.613bc2d0.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /js/vendors-main.m.f8a28baa.chunk.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /api/navigation/global HTTP/1.1" 404 59 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /js/app.m.51951a18.chunk.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /apple-touch-icon-180x180.png HTTP/1.1" 200 6087 "-" "Safari/16611.2.7.1.4 CFNetwork/1240.0.4 Darwin/20.5.0" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-15T09%3A10%3A37%2B0000 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /js/360.m.08bc8b40.chunk.js HTTP/1.1" 200 505 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /favicon.ico HTTP/1.1" 200 5430 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /js/328.m.09980e03.chunk.js HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:15 +0200] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:20 +0200] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "-"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:25 +0200] "GET /api/system/status HTTP/1.1" 200 76 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAA"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAB"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-24T11%3A53%3A15%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAC"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/users/current HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAD"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAE"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /sessions/new?return_to=%2F HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAF"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAG"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-24T11%3A53%3A28%2B0000 HTTP/1.1" 304 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAH"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /js/361.m.448e4697.chunk.js HTTP/1.1" 200 549 "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAI"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /js/13.m.e06a7a69.chunk.js HTTP/1.1" 200 2197 "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAJ"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /js/311.m.43bf4e62.chunk.js HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAK"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:28 +0200] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAL"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:34 +0200] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAM"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:34 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAN"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:34 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-24T11%3A53%3A28%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAQ"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:34 +0200] "GET /api/users/current HTTP/1.1" 200 354 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAO"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/navigation/global HTTP/1.1" 200 572 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAP"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/languages/list HTTP/1.1" 200 479 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAR"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /images/logo.svg?v=6.6 HTTP/1.1" 200 3507 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAS"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAT"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAU"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /js/0.m.83ea9624.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAV"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /js/268.m.2e9b0a35.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAW"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAX"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://localhost:9000/projects?sort=name" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAY"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:35 +0200] "GET /api/measures/search?projectKeys=ANTLR%2CFOP%2Cjfreechart%2CPDM&metricKeys=alert_status%2Cbugs%2Creliability_rating%2Cvulnerabilities%2Csecurity_rating%2Csecurity_hotspots_reviewed%2Csecurity_review_rating%2Ccode_smells%2Csqale_rating%2Cduplicated_lines_density%2Ccoverage%2Cncloc%2Cncloc_language_distribution%2Cprojects HTTP/1.1" 200 - "http://localhost:9000/projects?sort=name" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAZ"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /js/1.m.78e51612.chunk.js HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAa"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /js/276.m.2ce7413d.chunk.js HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAb"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/alm_settings/get_binding?project=ANTLR HTTP/1.1" 404 72 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAc"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/components/show?component=ANTLR HTTP/1.1" 200 247 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAe"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/navigation/component?component=ANTLR HTTP/1.1" 200 782 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAd"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_pull_requests/list?project=ANTLR HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAg"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_branches/list?project=ANTLR HTTP/1.1" 200 168 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAf"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /js/271.m.870b74de.chunk.js HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAh"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/ce/analysis_status?component=ANTLR HTTP/1.1" 200 732 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAi"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /images/source-code.svg HTTP/1.1" 200 1441 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAk"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /images/activity-chart.svg HTTP/1.1" 200 1205 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAl"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/ce/component?component=ANTLR HTTP/1.1" 200 464 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAj"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/components/show?component=ANTLR HTTP/1.1" 200 247 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAq"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/alm_settings/get_binding?project=ANTLR HTTP/1.1" 404 72 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAr"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/qualitygates/project_status?projectKey=ANTLR HTTP/1.1" 200 873 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAm"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/navigation/component?component=ANTLR HTTP/1.1" 200 782 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAp"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_pull_requests/list?project=ANTLR HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAu"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_branches/list?project=ANTLR HTTP/1.1" 200 168 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAt"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/measures/search_history?from=2020-06-24T11%3A53%3A40%2B0000&component=ANTLR&metrics=bugs%2Cvulnerabilities%2Csqale_index%2Cduplicated_lines_density%2Cncloc%2Ccoverage%2Ccode_smells%2Creliability_rating%2Csecurity_rating%2Csqale_rating&ps=1000 HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAn"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_analyses/search?project=ANTLR&from=2020-06-24T11%3A53%3A40%2B0000 HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAo"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/qualitygates/project_status?projectKey=ANTLR HTTP/1.1" 200 873 "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAv"
0:0:0:0:0:0:0:1 - - [24/Jun/2021:13:53:40 +0200] "GET /api/project_analyses/search?project=ANTLR&from=2020-06-24T11%3A53%3A40%2B0000 HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=ANTLR" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXo93iEfgyf5YL9AAAAx"
